date,currency,rate
1999-02-19,CHF,1.5982
1999-02-19,CZK,37.773
1999-02-19,DKK,7.4346
1999-02-19,GBP,0.6838
1999-02-19,HKD,8.6551
1999-02-19,HUF,251.88
1999-02-19,JPY,133.97
1999-02-19,KRW,1345.43
1999-02-19,NOK,8.7075
1999-02-19,NZD,2.0562
1999-02-19,PLN,4.2589
1999-02-19,SEK,8.911
1999-02-19,SGD,1.9067
1999-02-19,USD,1.1163
1999-02-19,ZAR,6.9573
1999-02-22,AUD,1.7237
1999-02-22,CAD,1.6351
1999-02-22,CHF,1.5986
1999-02-22,CZK,37.873
1999-02-22,DKK,7.4345
1999-02-22,GBP,0.6789
1999-02-22,HKD,8.5185
1999-02-22,HUF,250.12
1999-02-22,JPY,133.61
1999-02-22,KRW,1337.48
1999-02-22,NOK,8.6885
1999-02-22,NZD,2.0397
1999-02-22,PLN,4.2608
1999-02-22,SEK,8.9075
1999-02-22,SGD,1.8845
1999-02-22,USD,1.0992
1999-02-22,ZAR,6.851
1999-02-23,AUD,1.7145
1999-02-23,CAD,1.6423
1999-02-23,CHF,1.5954
1999-02-23,CZK,37.847
1999-02-23,DKK,7.4344
1999-02-23,GBP,0.6796
1999-02-23,HKD,8.482
1999-02-23,HUF,249.9
1999-02-23,JPY,133.14
1999-02-23,KRW,1326.17
1999-02-23,NOK,8.6745
1999-02-23,NZD,2.039
1999-02-23,PLN,4.2408
1999-02-23,SEK,8.9085
1999-02-23,SGD,1.8853
1999-02-23,USD,1.0969
1999-02-23,ZAR,6.8315
1999-02-24,AUD,1.7465
1999-02-24,CAD,1.6582
1999-02-24,CHF,1.594
1999-02-24,CZK,37.992
1999-02-24,DKK,7.4345
1999-02-24,GBP,0.6883
1999-02-24,HKD,8.5495
1999-02-24,HUF,252.23
1999-02-24,JPY,133.86
1999-02-24,KRW,1343.45
1999-02-24,NOK,8.654
1999-02-24,NZD,2.0768
1999-02-24,PLN,4.2813
1999-02-24,SEK,8.9115
1999-02-24,SGD,1.9046
1999-02-24,USD,1.1037
1999-02-24,ZAR,6.7871
1999-02-25,AUD,1.7566
1999-02-25,CAD,1.6543
1999-02-25,CHF,1.5905
1999-02-25,CZK,37.994
1999-02-25,DKK,7.4346
1999-02-25,GBP,0.6888
1999-02-25,HKD,8.5466
1999-02-25,HUF,252.56
1999-02-25,JPY,132.87
1999-02-25,KRW,1350.69
1999-02-25,NOK,8.6965
1999-02-25,NZD,2.0902
1999-02-25,PLN,4.3051
1999-02-25,SEK,8.974
1999-02-25,SGD,1.9063
1999-02-25,USD,1.1031
1999-02-25,ZAR,6.8254
1999-02-26,AUD,1.7819
1999-02-26,CAD,1.6684
1999-02-26,CHF,1.589
1999-02-26,CZK,37.908
1999-02-26,DKK,7.4344
1999-02-26,GBP,0.6873
1999-02-26,HKD,8.5382
1999-02-26,HUF,253.91
1999-02-26,JPY,131.33
1999-02-26,KRW,1348.55
1999-02-26,NOK,8.6965
1999-02-26,NZD,2.1071
1999-02-26,PLN,4.3482
1999-02-26,SEK,9.0025
1999-02-26,SGD,1.8965
1999-02-26,USD,1.1018
1999-02-26,ZAR,6.8064
1999-03-01,AUD,1.7766
1999-03-01,CAD,1.6579
1999-03-01,CHF,1.593
1999-03-01,CZK,37.57
1999-03-01,DKK,7.4347
1999-03-01,GBP,0.6829
1999-03-01,HKD,8.5139
1999-03-01,HUF,254.53
1999-03-01,JPY,131.13
1999-03-01,KRW,1340.17
1999-03-01,NOK,8.6475
1999-03-01,NZD,2.0936
1999-03-01,PLN,4.3074
1999-03-01,SEK,9.0005
1999-03-01,SGD,1.8943
1999-03-01,USD,1.0986
1999-03-01,ZAR,6.7716
1999-03-02,AUD,1.7492
1999-03-02,CAD,1.6605
1999-03-02,CHF,1.5912
1999-03-02,CZK,37.583
1999-03-02,DKK,7.4345
1999-03-02,GBP,0.6764
1999-03-02,HKD,8.4354
1999-03-02,HUF,252.14
1999-03-02,JPY,131.37
1999-03-02,KRW,1333.01
1999-03-02,NOK,8.652
1999-03-02,NZD,2.06
1999-03-02,PLN,4.321
1999-03-02,SEK,8.985
1999-03-02,SGD,1.8879
1999-03-02,USD,1.0887
1999-03-02,ZAR,6.7916
1999-03-03,AUD,1.7454
1999-03-03,CAD,1.6615
1999-03-03,CHF,1.5926
1999-03-03,CZK,37.551
1999-03-03,DKK,7.4345
1999-03-03,GBP,0.6723
1999-03-03,HKD,8.4416
1999-03-03,HUF,254.02
1999-03-03,JPY,132.18
